"STATION","NAME","DATE","PRCP","SNWD","TAVG","TMAX","TMIN"
"RIE00100818","BELGRADE OBSERVATORY, RI","2017-09-19","0.00",,"66","80","56"
"RIE00100818","BELGRADE OBSERVATORY, RI","2017-09-20","0.00",,"58","63","54"
"RIE00100818","BELGRADE OBSERVATORY, RI","2017-09-21","0.37",,"53","55","52"
"RIE00100818","BELGRADE OBSERVATORY, RI","2017-09-22","0.26",,"56","60","51"
"RIE00100818","BELGRADE OBSERVATORY, RI","2017-09-23","0.02",,"61","69","54"
"RIE00100818","BELGRADE OBSERVATORY, RI","2017-09-24","0.00",,"60","71","51"
"RIE00100818","BELGRADE OBSERVATORY, RI","2017-09-25","0.04",,"59","65","55"
"RIE00100818","BELGRADE OBSERVATORY, RI","2017-09-26","0.06",,"62","73","56"
"RIE00100818","BELGRADE OBSERVATORY, RI","2017-09-27","0.08",,"62","68","58"
"RIE00100818","BELGRADE OBSERVATORY, RI","2017-09-28","0.00",,"59","65","55"
"RIE00100818","BELGRADE OBSERVATORY, RI","2017-09-29","0.00",,"57","66","50"
"RIE00100818","BELGRADE OBSERVATORY, RI","2017-09-30","0.00",,"56","65","50"
"RIE00100818","BELGRADE OBSERVATORY, RI","2017-10-01","0.00",,"57","68","48"
"RIE00100818","BELGRADE OBSERVATORY, RI","2017-10-02","0.00",,"57","70","49"
"RIE00100818","BELGRADE OBSERVATORY, RI","2017-10-03","0.00",,"62","78","51"
"RIE00100818","BELGRADE OBSERVATORY, RI","2017-10-04","0.10",,"61","71","56"
"RIE00100818","BELGRADE OBSERVATORY, RI","2017-10-05","0.00",,"64","78","52"
"RIE00100818","BELGRADE OBSERVATORY, RI","2017-10-06","0.13",,"53","65","48"
"RIE00100818","BELGRADE OBSERVATORY, RI","2017-10-07","0.11",,"51","58","48"
"RIE00100818","BELGRADE OBSERVATORY, RI","2017-10-08","0.00",,"54","65","44"
"RIE00100818","BELGRADE OBSERVATORY, RI","2017-10-09","0.00",,"56","64","50"
"RIE00100818","BELGRADE OBSERVATORY, RI","2017-10-10","0.02",,"56","63","50"
"RIE00100818","BELGRADE OBSERVATORY, RI","2017-10-11","0.00",,"58","71","48"
"RIE00100818","BELGRADE OBSERVATORY, RI","2017-10-12","0.00",,"61","75","51"
"RIE00100818","BELGRADE OBSERVATORY, RI","2017-10-13","0.00",,"61","73","52"
"RIE00100818","BELGRADE OBSERVATORY, RI","2017-10-14","0.00",,"59","69","52"
"RIE00100818","BELGRADE OBSERVATORY, RI","2017-10-15","0.00",,"60","72","51"
"RIE00100818","BELGRADE OBSERVATORY, RI","2017-10-16","0.00",,"62","75","52"
"RIE00100818","BELGRADE OBSERVATORY, RI","2017-10-17","0.00",,"64","79","53"
"RIE00100818","BELGRADE OBSERVATORY, RI","2017-10-18","0.00",,"65","80","56"
"RIE00100818","BELGRADE OBSERVATORY, RI","2017-10-19","0.00",,"63","80","54"
"RIE00100818","BELGRADE OBSERVATORY, RI","2017-10-20","0.00",,"62","77","49"
"RIE00100818","BELGRADE OBSERVATORY, RI","2017-10-21","0.00",,"61","74","53"
"RIE00100818","BELGRADE OBSERVATORY, RI","2017-10-22","0.00",,"60","70","50"
"RIE00100818","BELGRADE OBSERVATORY, RI","2017-10-23","0.56",,"51","63","47"
"RIE00100818","BELGRADE OBSERVATORY, RI","2017-10-24","0.45",,"48","49","46"
"RIE00100818","BELGRADE OBSERVATORY, RI","2017-10-25","0.92",,"48","53","44"
"RIE00100818","BELGRADE OBSERVATORY, RI","2017-10-26","0.00",,"52","64","43"
"RIE00100818","BELGRADE OBSERVATORY, RI","2017-10-27","0.00",,"56","70","46"
